Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,Icebox,Leviatán,13,7,6,,100 Thieves,11,6,5,,53:07
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,Icebox,KRÜ Esports,13,6,7,,G2 Esports,9,3,6,,1:06:10
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,Sunset,KRÜ Esports,9,6,3,,G2 Esports,13,7,6,,53:13
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,Ascent,KRÜ Esports,11,7,4,,G2 Esports,13,8,5,,56:40
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),FURIA vs MIBR,Split,FURIA,9,7,2,,MIBR,13,8,5,,1:14:12
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),FURIA vs MIBR,Breeze,FURIA,11,8,3,,MIBR,13,9,4,,56:26
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,Lotus,Sentinels,13,9,4,,100 Thieves,5,2,3,,49:56
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,Bind,Sentinels,6,4,2,,100 Thieves,13,5,8,,44:57
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,Split,Sentinels,13,7,6,,100 Thieves,8,3,5,,45:29
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),NRG Esports vs Cloud9,Sunset,NRG Esports,13,8,5,,Cloud9,7,3,4,,1:00:41
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),NRG Esports vs Cloud9,Ascent,NRG Esports,14,5,7,2,Cloud9,12,5,7,0,58:34
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,Bind,LOUD,11,3,8,,Leviatán,13,4,9,,1:11:38
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,Split,LOUD,13,6,7,,Leviatán,10,4,6,,58:10
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,Ascent,LOUD,13,9,4,,Leviatán,7,4,3,,50:10
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),G2 Esports vs Evil Geniuses,Sunset,G2 Esports,13,8,4,1,Evil Geniuses,15,8,4,3,1:18:54
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),G2 Esports vs Evil Geniuses,Icebox,G2 Esports,11,5,6,,Evil Geniuses,13,6,7,,1:01:40
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Cloud9 vs MIBR,Bind,Cloud9,12,5,7,0,MIBR,14,5,7,2,1:16:03
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Cloud9 vs MIBR,Ascent,Cloud9,9,5,4,,MIBR,13,6,7,,56:21
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Split,Leviatán,3,3,0,,Sentinels,13,4,9,,50:11
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Breeze,Leviatán,13,9,4,,Sentinels,6,3,3,,45:00
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Bind,Leviatán,9,6,3,,Sentinels,13,7,6,,52:54
