Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,All Maps,6,55%,45%
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Sunset,3,58%,42%
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Ascent,1,58%,42%
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Bind,1,65%,35%
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Breeze,1,32%,68%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),All Maps,5,53%,47%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),Lotus,2,54%,46%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),Bind,1,52%,48%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),Split,1,54%,46%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),Sunset,1,52%,48%
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (A),All Maps,2,47%,53%
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (A),Split,1,41%,59%
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (A),Lotus,1,53%,47%
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),All Maps,3,47%,53%
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),Split,1,47%,53%
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),Icebox,1,48%,52%
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),Sunset,1,45%,55%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),All Maps,3,44%,56%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Lotus,1,50%,50%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Bind,1,59%,41%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Sunset,1,25%,75%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),All Maps,5,56%,44%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Bind,2,53%,47%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Ascent,1,68%,32%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Breeze,1,37%,63%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Icebox,1,65%,35%
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (B),All Maps,2,55%,45%
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (B),Split,1,75%,25%
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (B),Breeze,1,35%,65%
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),All Maps,2,56%,44%
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),Split,1,43%,57%
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),Bind,1,72%,28%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),All Maps,3,45%,55%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Split,1,48%,52%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Icebox,1,50%,50%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Sunset,1,38%,63%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (C),All Maps,2,58%,42%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (C),Lotus,1,55%,45%
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (C),Sunset,1,61%,39%
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (C),All Maps,2,64%,36%
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (C),Lotus,1,67%,33%
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (C),Ascent,1,61%,39%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),All Maps,3,68%,32%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Lotus,1,58%,42%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Breeze,1,71%,29%
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Sunset,1,81%,19%
Champions Tour 2024: EMEA Kickoff,All Stages,All Match Types,All Maps,46,53%,47%
Champions Tour 2024: EMEA Kickoff,All Stages,All Match Types,Sunset,11,48%,52%
Champions Tour 2024: EMEA Kickoff,All Stages,All Match Types,Lotus,9,57%,43%
Champions Tour 2024: EMEA Kickoff,All Stages,All Match Types,Split,8,51%,49%
Champions Tour 2024: EMEA Kickoff,All Stages,All Match Types,Bind,6,59%,41%
Champions Tour 2024: EMEA Kickoff,All Stages,All Match Types,Breeze,5,48%,52%
Champions Tour 2024: EMEA Kickoff,All Stages,All Match Types,Icebox,4,52%,48%
Champions Tour 2024: EMEA Kickoff,All Stages,All Match Types,Ascent,3,62%,38%
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,All Maps,6,44%,56%
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Ascent,2,46%,54%
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Sunset,2,45%,55%
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Icebox,1,55%,45%
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Split,1,19%,81%
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,All Maps,5,61%,39%
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Bind,1,67%,33%
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Icebox,1,63%,38%
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Lotus,1,71%,29%
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Split,1,44%,56%
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,Sunset,1,59%,41%
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,All Maps,8,43%,57%
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Split,3,39%,61%
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Breeze,2,56%,44%
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sunset,2,30%,70%
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Ascent,1,58%,42%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),All Maps,5,43%,57%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Ascent,1,38%,62%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Bind,1,63%,38%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Breeze,1,39%,61%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Lotus,1,35%,65%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Split,1,38%,62%
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),All Maps,2,43%,57%
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),Ascent,1,42%,58%
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),Sunset,1,45%,55%
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),All Maps,2,48%,52%
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),Split,1,68%,32%
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),Breeze,1,29%,71%
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),All Maps,2,54%,46%
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Ascent,1,50%,50%
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Bind,1,58%,42%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),All Maps,5,40%,60%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Split,2,35%,65%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Ascent,1,32%,68%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Bind,1,50%,50%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Icebox,1,46%,54%
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),All Maps,3,64%,36%
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),Ascent,1,65%,35%
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),Bind,1,71%,29%
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),Split,1,57%,43%
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),All Maps,3,53%,47%
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Lotus,1,61%,39%
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Bind,1,53%,47%
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Split,1,48%,52%
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),All Maps,3,49%,51%
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Bind,1,41%,59%
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Breeze,1,63%,37%
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Split,1,44%,56%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),All Maps,3,60%,40%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),Ascent,1,63%,38%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),Icebox,1,59%,41%
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),Sunset,1,59%,41%
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),All Maps,2,56%,44%
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),Icebox,1,46%,54%
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),Sunset,1,67%,33%
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),All Maps,2,62%,38%
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),Split,1,52%,48%
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),Sunset,1,71%,29%
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,All Maps,51,50%,50%
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,13,44%,56%
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,9,49%,51%
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,9,51%,49%
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,7,58%,42%
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,5,48%,52%
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,5,54%,46%
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Lotus,3,53%,47%
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,All Maps,4,47%,53%
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,Ascent,1,39%,61%
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,Bind,1,53%,47%
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,Breeze,1,37%,63%
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,Sunset,1,58%,42%
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,All Maps,4,49%,51%
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,Ascent,1,50%,50%
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,Breeze,1,42%,58%
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,Icebox,1,62%,38%
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,Split,1,42%,58%
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,All Maps,8,50%,50%
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Lotus,3,47%,53%
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Ascent,1,48%,52%
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bind,1,33%,67%
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Breeze,1,58%,42%
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Split,1,67%,33%
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Sunset,1,50%,50%
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),All Maps,4,47%,53%
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Sunset,2,38%,62%
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Lotus,1,61%,39%
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Ascent,1,53%,47%
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),All Maps,3,59%,41%
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Lotus,1,52%,48%
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Bind,1,63%,38%
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Sunset,1,63%,38%
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),All Maps,2,54%,46%
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),Split,1,54%,46%
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),Ascent,1,54%,46%
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),All Maps,2,57%,43%
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),Split,1,61%,39%
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),Lotus,1,53%,47%
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),All Maps,4,50%,50%
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Ascent,1,41%,59%
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Bind,1,33%,67%
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Lotus,1,62%,38%
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Sunset,1,63%,38%
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),All Maps,3,38%,62%
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Bind,1,43%,57%
