Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,BOOM Esports,$$$ (won),44,22
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,Pistol Won,,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,Eco (won),3,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,$ (won),3,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,$$ (won),4,2
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,$$$ (won),11,5
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Leviatán,Pistol Won,,2
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Leviatán,Eco (won),2,2
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Leviatán,$ (won),1,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Leviatán,$$ (won),6,4
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Leviatán,$$$ (won),12,6
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,Pistol Won,,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,Eco (won),4,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,$ (won),0,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,$$ (won),5,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,$$$ (won),15,9
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Leviatán,Pistol Won,,2
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Leviatán,Eco (won),3,2
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Leviatán,$ (won),2,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Leviatán,$$ (won),6,4
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Leviatán,$$$ (won),13,7
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Paper Rex,Pistol Won,,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Paper Rex,Eco (won),7,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Paper Rex,$ (won),3,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Paper Rex,$$ (won),9,3
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Paper Rex,$$$ (won),26,14
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Leviatán,Pistol Won,,4
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Leviatán,Eco (won),5,4
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Leviatán,$ (won),3,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Leviatán,$$ (won),12,8
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Leviatán,$$$ (won),25,13
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent,DRX,Pistol Won,,0
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent,DRX,Eco (won),4,0
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent,DRX,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent,DRX,$$ (won),5,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent,DRX,$$$ (won),20,14
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent,FURIA,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent,FURIA,Eco (won),2,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent,FURIA,$ (won),2,0
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent,FURIA,$$ (won),6,3
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent,FURIA,$$$ (won),20,9
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven,DRX,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven,DRX,Eco (won),2,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven,DRX,$ (won),0,0
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven,DRX,$$ (won),4,4
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven,DRX,$$$ (won),11,7
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven,FURIA,Pistol Won,,0
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven,FURIA,Eco (won),4,0
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven,FURIA,$ (won),2,1
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven,FURIA,$$ (won),2,0
